timestamp,action,symbol,price,quantity,cost,revenue,pnl
2025-08-21T01:40:20.942653,BUY,BTCUSDT,114400.0,9.032687534965035e-05,10.33339454,,
2025-08-21T02:16:00.614338,SELL,BTCUSDT,114162.97,8e-05,,9.133037600000002,9.133037600000002
2025-08-21T03:10:54.312070,BUY,BTCUSDT,114479.37,5e-05,5.7239685,,
2025-08-21T03:14:04.547789,SELL,BTCUSDT,114412.44,5e-05,,,N/A (Cierre OCO)
2025-08-21T03:15:05.488093,BUY,BTCUSDT,114362.6,5e-05,5.71813,,
2025-08-21T03:16:06.731185,SELL,BTCUSDT,114354.1,5e-05,,,N/A (Cierre OCO)
2025-08-21T03:17:07.658712,BUY,BTCUSDT,114431.94999999998,5e-05,5.7215975,,
2025-08-21T03:18:08.916672,SELL,BTCUSDT,114391.11,5e-05,,,N/A (Cierre OCO)
2025-08-21T09:41:03.516589,BUY,BTCUSDT,113558.54999999999,5e-05,5.6779275,,
2025-08-21T09:42:04.765894,SELL,BTCUSDT,113555.38,5e-05,,,N/A (Cierre OCO)
2025-08-21T10:29:34.522723,BUY,BTCUSDT,113440.01,5e-05,5.6720005,,
